date,hour,temperature_c,precipitation_mm,wind_speed_kph,condition
2023-01-01,0,17.5,0.4,17.0,Rain
2023-01-01,3,14.3,0.05,8.1,Clear
2023-01-01,6,22.9,0.01,24.4,Clear
2023-01-01,9,18.8,0.54,9.2,Rain
2023-01-01,12,12.7,0.11,15.5,Rain
2023-01-01,15,12.7,0.17,10.8,Rain
2023-01-01,18,9.9,0.1,12.3,Rain
2023-01-01,21,16.6,0.18,20.7,Rain
2023-01-02,0,15.3,0.27,5.9,Rain
2023-01-02,3,7.9,0.28,8.4,Rain
2023-01-02,6,12.0,0.35,13.8,Rain
2023-01-02,9,13.5,0.04,14.9,Clear
2023-01-02,12,19.1,0.11,15.4,Rain
2023-01-02,15,8.9,0.24,8.7,Rain
2023-01-02,18,18.7,0.03,8.9,Clear
2023-01-02,21,15.9,0.01,11.5,Clear
2023-01-03,0,7.6,0.53,12.1,Rain
2023-01-03,3,11.4,0.1,15.9,Rain
2023-01-03,6,16.6,0.02,24.7,Clear
2023-01-03,9,13.1,0.44,9.0,Rain
2023-01-03,12,20.2,0.44,6.5,Rain
2023-01-03,15,19.7,0.13,7.3,Rain
2023-01-03,18,16.7,0.12,6.3,Rain
2023-01-03,21,19.9,0.11,11.5,Rain
2023-01-04,0,19.1,0.65,14.4,Rain
2023-01-04,3,21.8,0.04,19.3,Clear
2023-01-04,6,16.8,0.44,14.9,Rain
2023-01-04,9,22.7,0.22,13.6,Rain
2023-01-04,12,15.4,0.11,15.2,Rain
2023-01-04,15,13.5,0.71,10.0,Rain
2023-01-04,18,22.4,0.08,6.5,Clear
2023-01-04,21,12.4,0.1,8.2,Rain
2023-01-05,0,19.6,0.49,8.7,Rain
2023-01-05,3,16.6,0.67,15.8,Rain
2023-01-05,6,11.5,0.08,13.5,Clear
2023-01-05,9,13.4,0.51,22.2,Rain
2023-01-05,12,15.0,0.16,9.4,Rain
2023-01-05,15,13.8,0.04,11.8,Clear
2023-01-05,18,14.2,0.22,19.1,Rain
2023-01-05,21,17.0,0.14,24.4,Rain
2023-01-06,0,5.4,0.1,5.7,Rain
2023-01-06,3,14.9,0.28,15.1,Rain
2023-01-06,6,14.0,0.05,14.8,Clear
2023-01-06,9,16.5,1.27,9.8,Rain
2023-01-06,12,20.7,0.08,19.6,Clear
2023-01-06,15,18.8,0.14,17.6,Rain
2023-01-06,18,17.9,0.03,21.7,Clear
2023-01-06,21,26.0,0.12,8.7,Rain
2023-01-07,0,15.5,0.34,5.3,Rain
2023-01-07,3,12.5,0.22,9.5,Rain
2023-01-07,6,9.7,0.35,12.7,Rain
2023-01-07,9,17.4,0.83,7.8,Rain
2023-01-07,12,11.1,0.78,22.5,Rain
2023-01-07,15,13.4,0.09,18.2,Clear
2023-01-07,18,16.1,0.23,9.8,Rain
2023-01-07,21,21.5,0.03,22.9,Clear
